,matchname,B,empirical_Ne,DFE,selfing,true_mean,true_shape,adjusted_gamma,gamma,b,GammaZero.negGmean,GammaZero.negGshape,F,selfing_Ne,selfing_B,empircal_B_selfing_adjust,F_adjusted_gamma,deltaNe,newNE,newNegamma
71,DFE3output2,0.0883384242424242,441.692121212121,DFE3,95,1000,0.3,88.3384242424242,123.1687912,0.2716,352.872428,0.203332,0.904761904761905,2625,0.525,0.168263665223665,525,2183.30787878788,2816.69212121212,563.338424242424
72,DFE3output2,0.0631487676767677,315.743838383838,DFE3,99,1000,0.3,63.1487676767677,97.33713732,0.2267,241.236812,0.171155,0.98019801980198,2525,0.505,0.125047064706471,505,2209.25616161616,2790.74383838384,558.148767676768
73,DFE3output3,0.847960404040404,4239.80202020202,DFE3,0,1000,0.3,847.960404040404,895.2178053,0.2933,594.300807,0.313064,0,5000,1,0.847960404040404,1000,760.19797979798,4239.80202020202,847.960404040404
74,DFE3output3,0.621888808080808,3109.44404040404,DFE3,50,1000,0.3,621.888808080808,774.11108482,0.2968,609.904344,0.306126,0.333333333333333,3750,0.75,0.829185077441077,750,640.55595959596,4359.44404040404,871.888808080808
75,DFE3output3,0.527421090909091,2637.10545454545,DFE3,80,1000,0.3,527.421090909091,624.7560501,0.2877,683.842662,0.273442,0.666666666666667,3000,0.6,0.879035151515151,600,362.894545454546,4637.10545454545,927.421090909091
76,DFE3output3,0.154039272727273,770.196363636364,DFE3,90,1000,0.3,154.039272727273,226.6669528,0.2634,522.576773,0.218009,0.818181818181818,2750,0.55,0.280071404958678,550,1979.80363636364,3020.19636363636,604.039272727273
77,DFE3output3,0.0592295757575758,296.147878787879,DFE3,95,1000,0.3,59.2295757575758,153.355346,0.2515,494.60349,0.118419,0.904761904761905,2625,0.525,0.11281823953824,525,2328.85212121212,2671.14787878788,534.229575757576
78,DFE3output3,0.0416927676767677,208.463838383838,DFE3,99,1000,0.3,41.6927676767677,94.24696568,0.2398,435.059088,0.190369,0.98019801980198,2525,0.505,0.0825599359935994,505,2316.53616161616,2683.46383838384,536.692767676768
79,DFE3output4,0.865668848484848,4328.34424242424,DFE3,0,1000,0.3,865.668848484848,1253.87819428,0.2754,656.906711,0.317362,0,5000,1,0.865668848484848,1000,671.655757575758,4328.34424242424,865.668848484848
80,DFE3output4,0.651813656565656,3259.06828282828,DFE3,50,1000,0.3,651.813656565657,1299.3495128,0.2669,1180.22165,0.252961,0.333333333333333,3750,0.75,0.869084875420875,750,490.931717171718,4509.06828282828,901.813656565657
81,DFE3output4,0.522919272727273,2614.59636363636,DFE3,80,1000,0.3,522.919272727273,455.233083,0.3065,323.153231,0.333405,0.666666666666667,3000,0.6,0.871532121212121,600,385.403636363636,4614.59636363636,922.919272727273
82,DFE3output4,0.144457535353535,722.287676767677,DFE3,90,1000,0.3,144.457535353535,189.8947392,0.291,342.773727,0.260967,0.818181818181818,2750,0.55,0.262650064279155,550,2027.71232323232,2972.28767676768,594.457535353535
83,DFE3output4,0.0774941414141414,387.470707070707,DFE3,95,1000,0.3,77.4941414141414,182.22228408,0.2481,763.629813,0.164084,0.904761904761905,2625,0.525,0.147607888407888,525,2237.52929292929,2762.47070707071,552.494141414141
84,DFE3output4,0.0331657373737374,165.828686868687,DFE3,99,1000,0.3,33.1657373737374,95.14122462,0.2214,285.828838,0.179736,0.98019801980198,2525,0.505,0.0656747274727473,505,2359.17131313131,2640.82868686869,528.165737373737
85,DFE3output5,0.848652121212121,4243.26060606061,DFE3,0,1000,0.3,848.652121212121,914.3596374,0.2955,671.231716,0.303777,0,5000,1,0.848652121212121,1000,756.739393939394,4243.26060606061,848.652121212121
86,DFE3output5,0.654815353535353,3274.07676767677,DFE3,50,1000,0.3,654.815353535353,601.39936884,0.317,490.344662,0.323359,0.333333333333333,3750,0.75,0.873087138047138,750,475.923232323233,4524.07676767677,904.815353535353
87,DFE3output5,0.510505858585859,2552.52929292929,DFE3,80,1000,0.3,510.505858585859,550.7584434,0.3075,411.457674,0.345749,0.666666666666667,3000,0.6,0.850843097643098,600,447.470707070707,4552.52929292929,910.505858585859
88,DFE3output5,0.164453333333333,822.266666666667,DFE3,90,1000,0.3,164.453333333333,154.88979242,0.3049,320.980244,0.247431,0.818181818181818,2750,0.55,0.299006060606061,550,1927.73333333333,3072.26666666667,614.453333333333
89,DFE3output5,0.103685171717172,518.425858585858,DFE3,95,1000,0.3,103.685171717172,158.51071488,0.2464,649.817135,0.159161,0.904761904761905,2625,0.525,0.197495565175565,525,2106.57414141414,2893.42585858586,578.685171717172
90,DFE3output5,0.0553213737373737,276.606868686869,DFE3,99,1000,0.3,55.3213737373737,133.40746496,0.2053,239.264734,0.173187,0.98019801980198,2525,0.505,0.109547274727473,505,2248.39313131313,2751.60686868687,550.321373737374
