"","generation","DFE","selfing","value","sd","replicate","selfing_class","scale"
"169","f1","DFE1","Adjusted DFE",0.662962114783491,0.00157764189836419,NA,"80% Selfing",50
"170","f1","DFE2","Adjusted DFE",0.251370868289315,0.00239791809948732,NA,"80% Selfing",50
"171","f1","DFE3","Adjusted DFE",0.104707364811328,0.000866816945347222,NA,"80% Selfing",50
"172","f1","DFE1","Adjusted DFE",0.665574538139358,0.00104093669235053,NA,"90% Selfing",50
"173","f1","DFE2","Adjusted DFE",0.267547922138838,0.00292098960526691,NA,"90% Selfing",50
"174","f1","DFE3","Adjusted DFE",0.110437859166949,0.000960435616581089,NA,"90% Selfing",50
"175","f1","DFE1","Adjusted DFE",0.667346355258981,0.000141939872007507,NA,"95% Selfing",50
"176","f1","DFE2","Adjusted DFE",0.308388719924234,0.0050556733892441,NA,"95% Selfing",50
"177","f1","DFE3","Adjusted DFE",0.12365097524107,0.00180172731905057,NA,"95% Selfing",50
"178","f1","DFE1","Adjusted DFE",0.588087663371536,0.0187333607561539,NA,"99% Selfing",50
"179","f1","DFE2","Adjusted DFE",0.466872210874453,0.0214128396409362,NA,"99% Selfing",50
"180","f1","DFE3","Adjusted DFE",0.168844150556881,0.00505361467692493,NA,"99% Selfing",50
"181","f2","DFE1","Adjusted DFE",0.124116850645556,0.00740238593320913,NA,"0% Selfing",50
"182","f2","DFE2","Adjusted DFE",0.499902545822006,0.00049345449436619,NA,"0% Selfing",50
"183","f2","DFE3","Adjusted DFE",0.196113890425574,0.000874890498231284,NA,"0% Selfing",50
"184","f2","DFE1","Adjusted DFE",0.122895950982179,0.00318705706944274,NA,"50% Selfing",50
"185","f2","DFE2","Adjusted DFE",0.500330764478618,0.000402611370949116,NA,"50% Selfing",50
"186","f2","DFE3","Adjusted DFE",0.198675717880507,0.00113168134433265,NA,"50% Selfing",50
"187","f2","DFE1","Adjusted DFE",0.115560954530386,0.0060715482080653,NA,"80% Selfing",50
"188","f2","DFE2","Adjusted DFE",0.502671355989797,0.000337690937177991,NA,"80% Selfing",50
"189","f2","DFE3","Adjusted DFE",0.205766680471166,0.00161681015546406,NA,"80% Selfing",50
"190","f2","DFE1","Adjusted DFE",0.102903304794105,0.00628598173974118,NA,"90% Selfing",50
"191","f2","DFE2","Adjusted DFE",0.502782493695109,0.000346230086987251,NA,"90% Selfing",50
"192","f2","DFE3","Adjusted DFE",0.216385698518142,0.00176719998939475,NA,"90% Selfing",50
"193","f2","DFE1","Adjusted DFE",0.084467655320109,0.00437869474319353,NA,"95% Selfing",50
"194","f2","DFE2","Adjusted DFE",0.48584041173367,0.00334017253762969,NA,"95% Selfing",50
"195","f2","DFE3","Adjusted DFE",0.240256213013164,0.00318613221729979,NA,"95% Selfing",50
"196","f2","DFE1","Adjusted DFE",0.0110826511389169,0.0038221067645863,NA,"99% Selfing",50
"197","f2","DFE2","Adjusted DFE",0.243217496687293,0.053010150709963,NA,"99% Selfing",50
"198","f2","DFE3","Adjusted DFE",0.312288577271213,0.00700200593917522,NA,"99% Selfing",50
"199","f3","DFE1","Adjusted DFE",3.69724142412764e-09,2.54506232826515e-09,NA,"0% Selfing",50
"200","f3","DFE2","Adjusted DFE",0.144846680402188,0.00270400629844141,NA,"0% Selfing",50
"201","f3","DFE3","Adjusted DFE",0.604156078381295,0.00180808744268024,NA,"0% Selfing",50
"202","f3","DFE1","Adjusted DFE",3.00900157568229e-09,7.31720597698107e-10,NA,"50% Selfing",50
"203","f3","DFE2","Adjusted DFE",0.142373024806484,0.00233128520362273,NA,"50% Selfing",50
"204","f3","DFE3","Adjusted DFE",0.598857973708634,0.00234268870173986,NA,"50% Selfing",50
"205","f3","DFE1","Adjusted DFE",1.79089906793273e-09,1.0307195016977e-09,NA,"80% Selfing",50
"206","f3","DFE2","Adjusted DFE",0.123551555342908,0.00403475554731846,NA,"80% Selfing",50
"207","f3","DFE3","Adjusted DFE",0.584151153932693,0.0033606670129521,NA,"80% Selfing",50
"208","f3","DFE1","Adjusted DFE",5.9319595346885e-10,3.30164631464021e-10,NA,"90% Selfing",50
"209","f3","DFE2","Adjusted DFE",0.0983709617760408,0.0042041941105311,NA,"90% Selfing",50
"210","f3","DFE3","Adjusted DFE",0.561999708565955,0.00370074072921815,NA,"90% Selfing",50
"211","f3","DFE1","Adjusted DFE",8.53046522308887e-11,4.94727685224774e-11,NA,"95% Selfing",50
"212","f3","DFE2","Adjusted DFE",0.0508711400874881,0.00474254997279762,NA,"95% Selfing",50
