name fullpath selfing DFE output m1_count m2_count m4_count neutral_m4_count alpha
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing95_DFE2/output3.fixed 95 DFE2 3 1199 1450 460 0 0.240837696335079
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing95_DFE3/output3.fixed 95 DFE3 3 1227 791 306 0 0.27894257064722
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing99_DFE1/output3.fixed 99 DFE1 3 1227 3428 327 1 0.0868175765645806
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing99_DFE2/output3.fixed 99 DFE2 3 1244 2167 283 0 0.115510204081633
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing99_DFE3/output3.fixed 99 DFE3 3 1177 979 178 0 0.153846153846154
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing0_DFE1/output4.fixed 0 DFE1 4 1257 1440 935 0 0.393684210526316
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing0_DFE2/output4.fixed 0 DFE2 4 1267 624 949 1 0.602670057215512
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing0_DFE3/output4.fixed 0 DFE3 4 1242 467 855 0 0.646747352496218
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing50_DFE1/output4.fixed 50 DFE1 4 1203 1495 927 0 0.382741535920727
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing50_DFE2/output4.fixed 50 DFE2 4 1309 701 903 0 0.562967581047382
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing50_DFE3/output4.fixed 50 DFE3 4 1206 511 779 0 0.603875968992248
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing80_DFE1/output4.fixed 80 DFE1 4 1237 1858 800 0 0.300978179082017
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing80_DFE2/output4.fixed 80 DFE2 4 1319 847 752 0 0.470293933708568
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing80_DFE3/output4.fixed 80 DFE3 4 1206 572 636 0 0.526490066225166
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing90_DFE1/output4.fixed 90 DFE1 4 1247 2187 679 0 0.236915561758548
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing90_DFE2/output4.fixed 90 DFE2 4 1243 1100 605 0 0.354838709677419
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing90_DFE3/output4.fixed 90 DFE3 4 1211 600 458 0 0.43289224952741
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing95_DFE1/output4.fixed 95 DFE1 4 1248 2811 575 0 0.169816893089191
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing95_DFE2/output4.fixed 95 DFE2 4 1260 1429 469 0 0.247102212855638
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing95_DFE3/output4.fixed 95 DFE3 4 1250 784 360 1 0.313811188811189
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing99_DFE1/output4.fixed 99 DFE1 4 1237 3384 367 0 0.0978405758464409
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing99_DFE2/output4.fixed 99 DFE2 4 1250 2102 278 0 0.116806722689076
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing99_DFE3/output4.fixed 99 DFE3 4 1273 1070 195 0 0.154150197628458
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing0_DFE1/output5.fixed 0 DFE1 5 1221 1452 968 0 0.4
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing0_DFE2/output5.fixed 0 DFE2 5 1204 606 880 0 0.592193808882907
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing0_DFE3/output5.fixed 0 DFE3 5 1203 467 909 1 0.659883720930233
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing50_DFE1/output5.fixed 50 DFE1 5 1198 1434 859 0 0.374618403837767
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing50_DFE2/output5.fixed 50 DFE2 5 1214 714 878 1 0.550879396984925
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing50_DFE3/output5.fixed 50 DFE3 5 1268 505 781 1 0.606531881804043
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing80_DFE1/output5.fixed 80 DFE1 5 1287 1819 833 0 0.314102564102564
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing80_DFE2/output5.fixed 80 DFE2 5 1304 842 740 1 0.467130214917826
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing80_DFE3/output5.fixed 80 DFE3 5 1206 524 605 0 0.535872453498671
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing90_DFE1/output5.fixed 90 DFE1 5 1248 2317 691 0 0.229720744680851
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing90_DFE2/output5.fixed 90 DFE2 5 1213 1067 627 0 0.37012987012987
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing90_DFE3/output5.fixed 90 DFE3 5 1261 612 423 0 0.408695652173913
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing95_DFE1/output5.fixed 95 DFE1 5 1194 2707 543 0 0.167076923076923
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing95_DFE2/output5.fixed 95 DFE2 5 1160 1469 471 0 0.242783505154639
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing95_DFE3/output5.fixed 95 DFE3 5 1183 740 353 1 0.322049405306496
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing99_DFE1/output5.fixed 99 DFE1 5 1257 3399 337 0 0.090203426124197
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing99_DFE2/output5.fixed 99 DFE2 5 1250 2112 269 0 0.112977740445191
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing99_DFE3/output5.fixed 99 DFE3 5 1205 1051 167 0 0.137110016420361
